model_index_id,me_name,release_id,bundle_id,bundle_version_id,crosswalk_version_id,modelable_entity_id,location_set_id,year_start,year_end,metric_id,data_transform,prediction_age_group_ids,prediction_sex_ids,prediction_units,description,gbd_covariates,stage_1_model_formula,density_cutoffs,st_version,st_lambda,st_omega,st_zeta,time_correlation_scale,gpr_scale,agg_level_4_to_3,agg_level_5_to_4,add_nsv,rake_logit,gpr_draws,path_to_data,path_to_custom_stage_1,transform_offset,notes
1,Percent deliveries in public hospital,16,,,,31604,22,1980,2024,3,logit,22,3,Percent deliveries in public hospital,CS eighth attempt deliveries in public hospital,ANC1_coverage_prop,data ~ ANC1_coverage_prop,"1, 5, 10, 15",beta,".05,.05,.1,.1, .1","1,1,1,1,1",".01,.001,.001,.001, .001","1, 1, 1, 1, 1",,"6, 163, 102, 214","6, 163",,1,0,/ihme/scratch/projects/hssa/pcp/delivery_location_remapping/st-gpr/pub_hosp/2024-10-22/delivery_location_thresholds_pub_hosp_2024-10-22.csv,,,
2,Percent deliveries in public hospital,16,,,,31604,22,1980,2024,3,logit,22,3,Percent deliveries in public hospital,CS practice time smoothing deliveries in public hospital,ANC1_coverage_prop,data ~ ANC1_coverage_prop,"1, 5, 10, 15",beta,".05,.05,.06,.06, .06","1,1,1,1,1",".01,.001,.001,.001, .001","1, 1, 1, 1, 1",,"6, 163, 102, 214","6, 163",,1,0,/ihme/scratch/projects/hssa/pcp/delivery_location_remapping/st-gpr/pub_hosp/2024-10-22/delivery_location_thresholds_pub_hosp_2024-10-22.csv,,,
3,Percent deliveries in public hospital,16,,,,31604,22,1980,2024,3,logit,22,3,Percent deliveries in public hospital,CS practice 2 time smoothing deliveries in public hospital,ANC1_coverage_prop,data ~ ANC1_coverage_prop,"1, 5",beta,"0.05, 0.05, 0.05","1, 1, 1","0.01, 0.01, 0.01","1, 1, 1",,"6, 163, 102, 214","6, 163",,1,0,/ihme/scratch/projects/hssa/pcp/delivery_location_remapping/st-gpr/pub_hosp/2024-10-22/delivery_location_thresholds_pub_hosp_2024-10-22.csv,,,
4,Percent deliveries in public hospital,16,10530,48886,47064,31604,22,1980,2024,3,logit,22,3,,CS experimenting with bundle data Percent deliveries in public hospital,ANC1_coverage_prop,data ~ ANC1_coverage_prop,"1, 5",beta,"0.05, 0.05, 0.05","1, 1, 1","0.01, 0.01, 0.01","1, 1, 1",,"6, 163, 102, 214","6, 163",,1,0,,,,
5,Percent deliveries in public hospital,16,10530,48886,47064,31604,22,1980,2024,3,logit,22,3,Percent deliveries in public hospital,CS first proper model - percent deliveries in public hospital,"ANC1_coverage_prop, ANC4_coverage_prop, SBA_coverage_prop, csection_coverage_prop, frac_oop_hexp, domestic_he_cap, haqi, universal_health_coverage, sdi, TFR, pct_births_in_over35s",,"1, 5, 10, 15",beta,"0.5, 0.5, 0.1, 0.1, 0.1","1, 1, 1, 1, 1",".01,.001,.001,.001, .001","1, 1, 1, 1, 1",,"6, 163, 102, 214","6, 163",,1,100,,/ihme/scratch/projects/hssa/pcp/delivery_location_remapping/st-gpr/pub_hosp/linear_oos/alpha_2024-10-28/pub_hosp_custom_prior_2024_10_28.csv,,
6,Percent deliveries in private (for-profit) hospital,16,10554,48912,47078,31605,22,1980,2024,3,logit,22,3,Percent deliveries in private hospital,CS first proper model - percent deliveries in private hospital,"ANC1_coverage_prop, ANC4_coverage_prop, SBA_coverage_prop, csection_coverage_prop, frac_oop_hexp, domestic_he_cap, haqi, universal_health_coverage, sdi, TFR, pct_births_in_over35s",,"1, 5, 10, 15",beta,"0.5, 0.5, 0.1, 0.1, 0.1","1, 1, 1, 1, 1",".01,.001,.001,.001, .001","1, 1, 1, 1, 1",,"6, 163, 102, 214","6, 163",,1,100,,/ihme/scratch/projects/hssa/pcp/delivery_location_remapping/st-gpr/priv_hosp/linear_oos/alpha_2024-11-01/priv_hosp_custom_prior_2024_11_01.csv,,
7,Percent deliveries in ngo hospitals (private non-profit),16,10555,48913,47079,31606,22,1980,2024,3,logit,22,3,Percent deliveries in ngo hospital,CS first proper model - percent deliveries in ngo hospital,"ANC1_coverage_prop, ANC4_coverage_prop, SBA_coverage_prop, csection_coverage_prop, frac_oop_hexp, domestic_he_cap, haqi, universal_health_coverage, sdi, TFR, pct_births_in_over35s",,"1, 5, 10, 15",beta,"0.5, 0.5, 0.1, 0.1, 0.1","1, 1, 1, 1, 1",".01,.001,.001,.001, .001","1, 1, 1, 1, 1",,"6, 163, 102, 214","6, 163",,1,100,,/ihme/scratch/projects/hssa/pcp/delivery_location_remapping/st-gpr/ngo_hosp/linear_oos/alpha_2024-11-01/ngo_hosp_custom_prior_2024_11_01.csv,0.001,
8,Percent deliveries in public primary facilities,16,10556,48914,47080,31607,22,1980,2024,3,logit,22,3,Percent deliveries in public primary facility,CS first proper model - percent deliveries in public primary facility,"ANC1_coverage_prop, ANC4_coverage_prop, SBA_coverage_prop, csection_coverage_prop, frac_oop_hexp, domestic_he_cap, haqi, universal_health_coverage, sdi, TFR, pct_births_in_over35s",,"1, 5, 10, 15",beta,"0.5, 0.5, 0.1, 0.1, 0.1","1, 1, 1, 1, 1",".01,.001,.001,.001, .001","1, 1, 1, 1, 1",,"6, 163, 102, 214","6, 163",,1,100,,/ihme/scratch/projects/hssa/pcp/delivery_location_remapping/st-gpr/pub_prim/linear_oos/alpha_2024-11-02/pub_prim_custom_prior_2024_11_02.csv,,
9,Percent deliveries in private (for-profit) primary facilities,16,10557,48915,47081,31608,22,1980,2024,3,logit,22,3,Percent deliveries in private primary facility,CS first proper model - percent deliveries in private primary facility,"ANC1_coverage_prop, ANC4_coverage_prop, SBA_coverage_prop, csection_coverage_prop, frac_oop_hexp, domestic_he_cap, haqi, universal_health_coverage, sdi, TFR, pct_births_in_over35s",,"1, 5, 10, 15",beta,"0.5, 0.5, 0.1, 0.1, 0.1","1, 1, 1, 1, 1",".01,.001,.001,.001, .001","1, 1, 1, 1, 1",,"6, 163, 102, 214","6, 163",,1,100,,/ihme/scratch/projects/hssa/pcp/delivery_location_remapping/st-gpr/priv_prim/linear_oos/alpha_2024-11-02/priv_prim_custom_prior_2024_11_02.csv,0.001,
10,Percent deliveries in ngo primary facilities (private non-profit),16,10558,48916,47082,31609,22,1980,2024,3,logit,22,3,Percent deliveries in ngo primary facility,CS first proper model - percent deliveries in ngo primary facility,"ANC1_coverage_prop, ANC4_coverage_prop, SBA_coverage_prop, csection_coverage_prop, frac_oop_hexp, domestic_he_cap, haqi, universal_health_coverage, sdi, TFR, pct_births_in_over35s",,"1, 5, 10, 15",beta,"0.5, 0.5, 0.1, 0.1, 0.1","1, 1, 1, 1, 1",".01,.001,.001,.001, .001","1, 1, 1, 1, 1",,"6, 163, 102, 214","6, 163",,1,100,,/ihme/scratch/projects/hssa/pcp/delivery_location_remapping/st-gpr/ngo_prim/linear_oos/alpha_2024-11-02/ngo_prim_custom_prior_2024_11_02.csv,0.001,
