"GHDx Record ID","GHDx Record Title","GHDx Record URL","Data provider","Data Provider URL","Series","Geography","Data type","Time period covered","Summary","Ongoing Coverage","Suggested citation"
1855,"Burkina Faso Core Welfare Indicators Questionnaire Survey 2003","/record/burkina-faso-core-welfare-indicators-questionnaire-survey-2003","National Institute of Statistics and Demography (Burkina Faso)","http://www.insd.bf/nada/index.php/catalog","Core Welfare Indicators Questionnaire Survey (CWIQ)","Burkina Faso","Survey","05/2003 to 07/2003","This CWIQ-based survey acted as a continuation of the 1994-1995 and 1998 Burkina Faso priority surveys. Its purpose was to monitor and evaluate poverty in Burkina Faso.
The sample of 8,500 households was surveyed on topics of household demographics, education, health, employment, assets, housing, expenditures, agricultural production, and business activities. Anthropomorphic measurements were taken of children younger than 5.
",NA,"National Institute of Statistics and Demography (Burkina Faso), World Bank. Burkina Faso Core Welfare Indicators Questionnaire Survey 2003. Ouagadougou, Burkina Faso: National Institute of Statistics and Demography (Burkina Faso).
"
1981,"Burundi Multiple Indicator Cluster Survey 2005","/record/burundi-multiple-indicator-cluster-survey-2005","United Nations Children's Fund (UNICEF)","http://mics.unicef.org/surveys","Multiple Indicator Cluster Survey (MICS), MICS Program Surveys","Burundi","Survey","09/2005 to 12/2005","Part of MICS3, an international survey initiative to monitor the situation of children and women, covering health, education, child protection and HIV/AIDS; it includes vaccination, contraceptive use and symptoms like diarrhea, cough and fever.
",NA,"United Nations Children's Fund (UNICEF), Burundi Institute of Statistics and Economic Studies, United Nations Population Fund (UNFPA). Burundi Multiple Indicator Cluster Survey 2005. New York, United States: United Nations Children's Fund (UNICEF).
"
3392,"Djibouti Family Health Survey 2002","/record/djibouti-family-health-survey-2002","","","Pan Arab Project for Family Health (PAPFAM)","Djibouti","Survey","10/2002 to 12/2002","The Djibouti Family Health Survey 2002 was conducted by the Department of Statistics and Demographic Studies under the supervision of the Ministry of Health and in collaboration with the Pan Arab Project for Family Health (PAPFAM). The survey was completed by 4,440 households, 2,742 ever married women ages 15 to 54, and 511 never married adults ages 15 to 24.
The survey used four questionnaires covering the following topics: housing characteristics; health status; prevalence of chronic diseases; knowledge of contraception and sexually-transmitted diseases; reproductive health; child and maternal mortality; child immunization; and use of health services.
The report may be available through the library.
",NA,"Department of Statistics and Demographic Studies (Djibouti), League of Arab States, Ministry of Health (Djibouti), Pan Arab Project for Family Health (PAPFAM). Djibouti Family Health Survey 2002.
"
3404,"Djibouti Multiple Indicator Cluster Survey 2006","/record/djibouti-multiple-indicator-cluster-survey-2006","United Nations Children's Fund (UNICEF)","http://mics.unicef.org/surveys","Multiple Indicator Cluster Survey (MICS), MICS Program Surveys","Djibouti","Survey","06/2006 to 08/2006","This survey was conducted as part of MICS3, an international data collection initiative to monitor the situation of children and women. The survey covered the topics of health, education, child protection, HIV/AIDS, vaccination, contraceptive use, and diarrhea. Of the 5,209 households selected for the Djibouti MICS 2006 survey, 4,888 were successfully interviewed, yielding interviews with 6,020 women, and 2,245 responses for the children's questionnaire.
",NA,"Ministry of Economy, Finance, and Planning in charge of Privatization (Djibouti), Ministry of Health (Djibouti), United Nations Children's Fund (UNICEF). Djibouti Multiple Indicator Cluster Survey 2006. New York, United States of America: United Nations Children's Fund (UNICEF).
"
3455,"Dominican Republic National Multipurpose Household Survey 2006","/record/dominican-republic-national-multipurpose-household-survey-2006","National Statistics Office (Dominican Republic)","http://anda.one.gob.do/index.php/catalog/63","Dominican Republic National Multipurpose Household Survey","Dominican Republic","Survey","05/2006 to 07/2006","The 2006 Dominican Republic National Multipurpose Household Survey (ENHOGAR) contains a five part questionnaire with both short and long forms. The survey covers birth histories, child health, immunization, diarrhea and oral rehydration, child development and disability, child care, school enrollment, recreational and educational activities, and child discipline. Anthropometric measurements were taken for children in the survey.
",NA,"National Statistics Office (Dominican Republic), United Nations Children's Fund (UNICEF). Dominican Republic National Multipurpose Household Survey 2006. Santo Domingo, Dominican Republic: National Statistics Office (Dominican Republic).
"
3935,"Gambia Multiple Indicator Cluster Survey 2005-2006","/record/gambia-multiple-indicator-cluster-survey-2005-2006","United Nations Children's Fund (UNICEF)","http://mics.unicef.org/surveys","Multiple Indicator Cluster Survey (MICS), MICS Program Surveys","Gambia","Survey","12/2005 to 03/2006","Part of MICS3, an international survey initiative to monitor the situation of children and women, covering health, education, child protection and HIV/AIDS; it includes vaccination, contraceptive use and symptoms like diarrhea, cough and fever.
",NA,"Gambia Bureau of Statistics (GBOS), United Nations Children's Fund (UNICEF). Gambia Multiple Indicator Cluster Survey 2005-2006. New York, United States of America: United Nations Children's Fund (UNICEF).
"
3970,"Georgia Multiple Indicator Cluster Survey 2005","/record/georgia-multiple-indicator-cluster-survey-2005","United Nations Children's Fund (UNICEF)","http://mics.unicef.org/surveys","Multiple Indicator Cluster Survey (MICS), MICS Program Surveys","Georgia","Survey","11/2005 to 12/2005","The Georgia Multiple Indicator Cluster Survey (MICS) 2005 is part of MICS3, an international survey initiative to monitor the situation of children and women. Topics commonly covered in MICS include immunization, education, child and maternal health, family planning and knowledge of HIV/AIDS. MICS also provides data for tracking progress toward Millennium Development Goals (MDGs), particularly those related to health, education and mortality. For the 2005 Georgia MICS, 9,847 women age 15-49 were successfully interviewed from 12,010 households. Additionally, 2,037 questionnaires for children under five were completed.
",NA,"National Center for Disease Control (Georgia), State Department of Statistics of Georgia, United Nations Children's Fund (UNICEF). Georgia Multiple Indicator Cluster Survey 2005. New York, United States of America: United Nations Children's Fund (UNICEF).
"
4012,"Ghana Core Welfare Indicators Survey 1997","/record/ghana-core-welfare-indicators-survey-1997","Ghana Statistical Service","http://www2.statsghana.gov.gh/nada/index.php/catalog/2","Core Welfare Indicators Questionnaire Survey (CWIQ)","Ghana","Survey","09/1997 to 11/1997","",NA,"Ghana Statistical Service, World Bank. Ghana Core Welfare Indicators Survey 1997.
"
10364,"Paraguay Reproductive Health Survey 1995-1996","/record/paraguay-reproductive-health-survey-1995-1996","Centers for Disease Control and Prevention (CDC)","http://www.cdc.gov/reproductivehealth/global/tools/surveys.htm","Reproductive Health Survey (RHS)","Paraguay","Survey","10/1995 to 02/1996","The 1995-96 Paraugay RHS covers: fertility, contraceptive use, young adult sexual experience, infant and maternal mortality, maternal and child health services, and intimate partner violence. n=6,645 women 15-49.
",NA,"Division of Reproductive Health-Centers for Disease Control and Prevention (CDC). Paraguay Reproductive Health Survey 1995-1996. Asunción, Paraguay, Paraguayan Center for Population Studies (CEPEP).
"
11240,"Russia Longitudinal Monitoring Survey of HSE, Round VIII 1998-1999","/record/russia-longitudinal-monitoring-survey-hse-round-viii-1998-1999","Carolina Population Center, University of North Carolina at Chapel Hill","https://dataverse.unc.edu/dataverse/rlms-hse","Russian Longitudinal Monitoring Survey of HSE (RLMS-HSE)","Russian Federation","Survey","10/1998 to 01/1999","The Russian Longitudinal Monitoring Survey-HSE (RLMS-HSE) is a household-based longitudinal survey measuring the effects of Russian reforms on households and individuals. Questionnaires collect information on individual health status and dietary intake, household expenditures, utilization of medical services, as well as information about local communities. 
Phase I of the RLMS consisted of Rounds I-IV, conducted between July 1992 and January 1994. Phase II has been ongoing since November 1994.
",NA,"Russia Longitudinal Monitoring Survey (RLMS-HSE), Round VIII 1998-1999. National Research University Higher School of Economics, ZAO Demoscope, Carolina Population Center, Univeristy of North Carolina at Chapel Hill, Institute of Sociology, Russian Academy of Sciences.
"
